"Freq"	"S22 magnitude"			"S22 phase"		
15.750000	1.418E-03	2.849E-04	6.076E-04	2.160	3.141	12.336
15.759375	8.396E-04	2.589E-04	5.553E-04	41.121	-80.74	-107.567
15.768750	4.597E-04	5.821E-04	5.321E-04	29.112	-26.02	5.622
15.778125	1.909E-03	2.996E-04	2.735E-04	33.138	32.42	35.493
15.787500	5.855E-04	5.832E-04	7.023E-04	66.161	-145.44	38.693
15.796875	8.800E-04	1.139E-03	4.140E-04	65.133	137.351	111.605
15.806250	1.589E-03	2.713E-04	4.848E-04	99.986	74.394	172.673
15.815625	9.121E-04	1.186E-03	3.862E-04	86.304	-117.473	148.619
15.825000	3.014E-04	1.395E-03	6.539E-04	-150.142	170.746	134.498
15.834375	7.449E-04	6.158E-04	5.393E-04	24.488	125.348	172.251
15.843750	7.277E-04	8.761E-04	7.022E-04	10.850	-138.549	-156.985
15.853125	1.604E-03	5.137E-04	2.336E-04	6.635	145.964	-9.626
15.862500	8.035E-04	7.663E-04	5.348E-04	47.924	-31.762	-119.51
15.871875	2.117E-03	7.193E-04	5.705E-04	32.717	-76.589	-109.246
15.881250	1.580E-03	1.323E-04	3.143E-04	5.747	81.266	-146.758
15.890625	1.868E-03	4.586E-04	6.940E-04	21.771	-70.885	-8.734
15.900000	1.322E-03	4.082E-04	8.869E-05	38.258	44.033	-40.14
15.909375	2.486E-03	2.831E-04	5.133E-04	33.298	170.439	78.075
15.918750	1.581E-03	1.300E-03	6.761E-04	29.939	102.604	52.573
15.928125	1.334E-03	7.930E-04	1.772E-04	21.934	88.709	147.504
15.937500	1.223E-03	2.118E-04	3.832E-04	19.503	9.307	105.616
15.946875	1.562E-03	1.234E-03	4.066E-04	19.405	88.542	127.315
15.956250	1.110E-03	9.276E-04	1.795E-04	30.155	125.18	-172.631
15.965625	1.517E-03	4.774E-04	3.889E-04	-5.448	-81.7	-105.56
15.975000	2.112E-03	5.412E-04	4.676E-04	12.970	-86.904	-116.65
15.984375	1.692E-03	1.216E-03	1.057E-03	16.425	-83.444	-140.72
15.993750	2.219E-03	1.207E-03	2.520E-04	-26.272	-56.645	-2.244
16.003125	2.340E-03	7.465E-04	3.148E-04	-19.484	-46.924	-113.56
16.012500	2.575E-03	7.405E-04	4.148E-04	-12.306	-22.867	45.925
16.021875	3.200E-03	8.900E-04	3.361E-04	11.879	-36.749	45.668
16.031250	3.735E-03	1.037E-03	9.685E-04	3.950	16.358	95.03
16.040625	4.160E-03	1.793E-03	8.224E-04	-8.635	-6.504	33.21
16.050000	3.376E-03	9.116E-04	2.733E-04	-11.841	-19.166	99.328
16.059375	4.162E-03	1.713E-03	1.061E-03	-26.368	69.626	100.012
16.068750	2.524E-03	1.164E-03	1.964E-04	-23.895	150.808	71.829
16.078125	3.091E-03	8.960E-04	7.175E-04	-22.979	143.361	158.004
16.087500	3.321E-03	5.518E-04	5.221E-04	-17.234	134.77	171.175
16.096875	2.511E-03	4.450E-04	3.261E-04	-35.931	-178.584	-51.988
16.106250	3.405E-03	1.204E-03	6.268E-04	-23.412	-102.036	-179.443
16.115625	3.300E-03	9.511E-04	3.415E-04	-40.739	-145.59	-40.077
16.125000	4.540E-03	5.691E-04	2.222E-04	-38.560	-77.183	-68.076
16.134375	5.346E-03	6.472E-04	5.666E-04	-29.918	-175.951	-82.592
16.143750	6.593E-03	1.266E-03	6.642E-04	-23.659	-127.668	-85.981
16.153125	6.241E-03	8.117E-04	8.029E-04	-31.608	-30.155	9.396
16.162500	5.748E-03	8.724E-04	2.464E-04	-41.942	-4.609	52.584
16.171875	5.385E-03	7.803E-04	3.779E-04	-39.859	105.815	-6.84
16.181250	5.476E-03	1.235E-03	3.396E-04	-37.718	64.98	170.821
16.190625	6.629E-03	1.103E-03	6.837E-05	-46.896	96.718	67.301
16.200000	6.876E-03	7.258E-04	4.902E-04	-46.190	166.262	-36.132
16.209375	6.824E-03	1.558E-03	6.801E-04	-51.302	-144.317	176.507
16.218750	7.625E-03	6.420E-04	2.409E-04	-64.011	121.514	164.172
16.228125	8.491E-03	1.386E-03	3.241E-04	-59.965	147.122	-109.096
16.237500	8.521E-03	7.009E-04	3.558E-04	-62.115	-107.472	179.761
16.246875	8.431E-03	8.797E-04	4.058E-04	-70.426	149.234	-60.356
16.256250	8.928E-03	1.287E-04	1.241E-03	-66.039	-126.076	-139.153
16.265625	8.741E-03	4.730E-04	5.883E-04	-69.700	-143.897	-59.853
16.275000	8.960E-03	5.661E-04	4.252E-04	-64.058	9.412	-27.425
16.284375	1.085E-02	5.389E-04	7.707E-04	-62.394	93.698	-34.945
16.293750	1.046E-02	6.117E-04	3.896E-04	-61.304	33.6	-25.247
16.303125	1.205E-02	2.103E-03	2.698E-04	-59.673	-15.864	19.233
16.312500	1.403E-02	7.189E-04	3.271E-04	-62.083	168.509	-161.253
16.321875	1.377E-02	1.152E-03	4.173E-04	-65.216	83.052	101.573
16.331250	1.606E-02	1.460E-03	6.257E-04	-73.086	100.191	73.288
16.340625	1.593E-02	1.990E-03	8.371E-04	-81.529	126.419	164.469
16.350000	1.732E-02	1.286E-03	1.556E-04	-84.545	165.06	-46.812
16.359375	1.767E-02	8.728E-04	7.464E-04	-92.184	-141.692	176.407
16.368750	1.768E-02	7.386E-04	2.471E-04	-96.183	-161.387	-90.491
16.378125	1.890E-02	3.584E-04	4.152E-04	-98.085	158.032	-154.488
16.387500	1.936E-02	6.291E-04	5.335E-04	-98.008	-57.269	-101.094
16.396875	2.011E-02	4.224E-04	1.559E-04	-98.959	-72.807	109.899
16.406250	2.142E-02	1.510E-03	4.763E-04	-96.007	-82.805	-14.982
16.415625	2.262E-02	5.494E-04	3.557E-04	-98.792	45.047	98.743
16.425000	2.385E-02	8.407E-04	8.754E-04	-102.092	5.847	32.617
