02/18/15 07:25 PM,A:\TRACE467.CSV,,
Title:                   ,,,
Model:                   ,E4407B,,
Serial Number:           ,US41443441,,
Center Frequency:        ,22000000000,Hz,
Span:                    ,10000000000,Hz,
Resolution Bandwidth:    ,3000000,Hz,
Video Bandwidth:         ,3000000,Hz,
Reference Level:         ,-1.10E+001,dBm,
Sweep Time:              ,1.00E-001,Sec,
Num Points:              ,401,,
,,,
,,,
,Trace 1,Trace 2,Trace 3
Hz,dBm,dBm,dBm
19525000000,-5.01E+001,-2.15E+006,-2.15E+006
19550000000,-4.95E+001,-2.15E+006,-2.15E+006
19575000000,-5.01E+001,-2.15E+006,-2.15E+006
19600000000,-5.05E+001,-2.15E+006,-2.15E+006
19625000000,-4.94E+001,-2.15E+006,-2.15E+006
19650000000,-5.06E+001,-2.15E+006,-2.15E+006
19675000000,-5.04E+001,-2.15E+006,-2.15E+006
19700000000,-5.03E+001,-2.15E+006,-2.15E+006
19725000000,-5.17E+001,-2.15E+006,-2.15E+006
19750000000,-5.27E+001,-2.15E+006,-2.15E+006
19775000000,-5.22E+001,-2.15E+006,-2.15E+006
19800000000,-5.20E+001,-2.15E+006,-2.15E+006
19825000000,-5.24E+001,-2.15E+006,-2.15E+006
19850000000,-5.23E+001,-2.15E+006,-2.15E+006
19875000000,-5.28E+001,-2.15E+006,-2.15E+006
19900000000,-5.29E+001,-2.15E+006,-2.15E+006
19925000000,-5.40E+001,-2.15E+006,-2.15E+006
19950000000,-5.35E+001,-2.15E+006,-2.15E+006
19975000000,-5.33E+001,-2.15E+006,-2.15E+006
20000000000,-5.39E+001,-2.15E+006,-2.15E+006
20025000000,-5.41E+001,-2.15E+006,-2.15E+006
20050000000,-5.43E+001,-2.15E+006,-2.15E+006
20075000000,-5.42E+001,-2.15E+006,-2.15E+006
20100000000,-5.47E+001,-2.15E+006,-2.15E+006
20125000000,-5.42E+001,-2.15E+006,-2.15E+006
20150000000,-5.41E+001,-2.15E+006,-2.15E+006
20175000000,-5.43E+001,-2.15E+006,-2.15E+006
20200000000,-5.52E+001,-2.15E+006,-2.15E+006
20225000000,-5.44E+001,-2.15E+006,-2.15E+006
20250000000,-5.47E+001,-2.15E+006,-2.15E+006
20275000000,-5.36E+001,-2.15E+006,-2.15E+006
20300000000,-5.47E+001,-2.15E+006,-2.15E+006
20325000000,-5.44E+001,-2.15E+006,-2.15E+006
20350000000,-5.39E+001,-2.15E+006,-2.15E+006
20375000000,-5.45E+001,-2.15E+006,-2.15E+006
20400000000,-5.48E+001,-2.15E+006,-2.15E+006
20425000000,-5.46E+001,-2.15E+006,-2.15E+006
20450000000,-5.33E+001,-2.15E+006,-2.15E+006
20475000000,-5.44E+001,-2.15E+006,-2.15E+006
20500000000,-5.37E+001,-2.15E+006,-2.15E+006
20525000000,-5.48E+001,-2.15E+006,-2.15E+006
20550000000,-5.42E+001,-2.15E+006,-2.15E+006
20575000000,-5.44E+001,-2.15E+006,-2.15E+006
20600000000,-5.37E+001,-2.15E+006,-2.15E+006
20625000000,-5.31E+001,-2.15E+006,-2.15E+006
20650000000,-5.29E+001,-2.15E+006,-2.15E+006
20675000000,-5.31E+001,-2.15E+006,-2.15E+006
20700000000,-5.34E+001,-2.15E+006,-2.15E+006
20725000000,-5.35E+001,-2.15E+006,-2.15E+006
20750000000,-5.37E+001,-2.15E+006,-2.15E+006
20775000000,-5.30E+001,-2.15E+006,-2.15E+006
20800000000,-5.25E+001,-2.15E+006,-2.15E+006
20825000000,-5.26E+001,-2.15E+006,-2.15E+006
20850000000,-5.24E+001,-2.15E+006,-2.15E+006
20875000000,-5.27E+001,-2.15E+006,-2.15E+006
20900000000,-5.32E+001,-2.15E+006,-2.15E+006
20925000000,-5.24E+001,-2.15E+006,-2.15E+006
20950000000,-5.17E+001,-2.15E+006,-2.15E+006
20975000000,-5.23E+001,-2.15E+006,-2.15E+006
21000000000,-5.17E+001,-2.15E+006,-2.15E+006
21025000000,-5.19E+001,-2.15E+006,-2.15E+006
21050000000,-5.09E+001,-2.15E+006,-2.15E+006
21075000000,-5.25E+001,-2.15E+006,-2.15E+006
21100000000,-5.21E+001,-2.15E+006,-2.15E+006
21125000000,-5.25E+001,-2.15E+006,-2.15E+006
21150000000,-5.25E+001,-2.15E+006,-2.15E+006
21175000000,-5.21E+001,-2.15E+006,-2.15E+006
21200000000,-5.26E+001,-2.15E+006,-2.15E+006
21225000000,-5.19E+001,-2.15E+006,-2.15E+006
21250000000,-5.29E+001,-2.15E+006,-2.15E+006
21275000000,-5.36E+001,-2.15E+006,-2.15E+006
21300000000,-5.32E+001,-2.15E+006,-2.15E+006
21325000000,-5.29E+001,-2.15E+006,-2.15E+006
21350000000,-5.29E+001,-2.15E+006,-2.15E+006
21375000000,-5.32E+001,-2.15E+006,-2.15E+006
21400000000,-5.27E+001,-2.15E+006,-2.15E+006
21425000000,-5.25E+001,-2.15E+006,-2.15E+006
21450000000,-5.30E+001,-2.15E+006,-2.15E+006
21475000000,-5.37E+001,-2.15E+006,-2.15E+006
21500000000,-5.34E+001,-2.15E+006,-2.15E+006
21525000000,-5.34E+001,-2.15E+006,-2.15E+006
21550000000,-5.30E+001,-2.15E+006,-2.15E+006
21575000000,-5.32E+001,-2.15E+006,-2.15E+006
21600000000,-5.38E+001,-2.15E+006,-2.15E+006
21625000000,-5.34E+001,-2.15E+006,-2.15E+006
21650000000,-5.39E+001,-2.15E+006,-2.15E+006
21675000000,-5.35E+001,-2.15E+006,-2.15E+006
21700000000,-5.32E+001,-2.15E+006,-2.15E+006
21725000000,-5.36E+001,-2.15E+006,-2.15E+006
21750000000,-5.44E+001,-2.15E+006,-2.15E+006
21775000000,-5.37E+001,-2.15E+006,-2.15E+006
21800000000,-5.36E+001,-2.15E+006,-2.15E+006
21825000000,-5.39E+001,-2.15E+006,-2.15E+006
21850000000,-5.43E+001,-2.15E+006,-2.15E+006
21875000000,-5.36E+001,-2.15E+006,-2.15E+006
21900000000,-5.48E+001,-2.15E+006,-2.15E+006
21925000000,-5.47E+001,-2.15E+006,-2.15E+006
21950000000,-5.37E+001,-2.15E+006,-2.15E+006
21975000000,-5.42E+001,-2.15E+006,-2.15E+006
22000000000,-5.46E+001,-2.15E+006,-2.15E+006
22025000000,-5.48E+001,-2.15E+006,-2.15E+006
22050000000,-5.43E+001,-2.15E+006,-2.15E+006
22075000000,-5.43E+001,-2.15E+006,-2.15E+006
22100000000,-5.37E+001,-2.15E+006,-2.15E+006
22125000000,-5.48E+001,-2.15E+006,-2.15E+006
22150000000,-5.43E+001,-2.15E+006,-2.15E+006
22175000000,-5.40E+001,-2.15E+006,-2.15E+006
22200000000,-5.46E+001,-2.15E+006,-2.15E+006
22225000000,-5.51E+001,-2.15E+006,-2.15E+006
22250000000,-5.49E+001,-2.15E+006,-2.15E+006
22275000000,-5.41E+001,-2.15E+006,-2.15E+006
22300000000,-5.43E+001,-2.15E+006,-2.15E+006
22325000000,-5.48E+001,-2.15E+006,-2.15E+006
22350000000,-5.51E+001,-2.15E+006,-2.15E+006
22375000000,-5.49E+001,-2.15E+006,-2.15E+006
22400000000,-5.42E+001,-2.15E+006,-2.15E+006
22425000000,-5.45E+001,-2.15E+006,-2.15E+006
22450000000,-5.37E+001,-2.15E+006,-2.15E+006
22475000000,-5.33E+001,-2.15E+006,-2.15E+006
22500000000,-5.43E+001,-2.15E+006,-2.15E+006
22525000000,-5.47E+001,-2.15E+006,-2.15E+006
22550000000,-5.49E+001,-2.15E+006,-2.15E+006
22575000000,-5.42E+001,-2.15E+006,-2.15E+006
22600000000,-5.43E+001,-2.15E+006,-2.15E+006
22625000000,-5.40E+001,-2.15E+006,-2.15E+006
22650000000,-5.52E+001,-2.15E+006,-2.15E+006
22675000000,-5.46E+001,-2.15E+006,-2.15E+006
22700000000,-5.38E+001,-2.15E+006,-2.15E+006
22725000000,-5.43E+001,-2.15E+006,-2.15E+006
22750000000,-5.46E+001,-2.15E+006,-2.15E+006
22775000000,-5.48E+001,-2.15E+006,-2.15E+006
22800000000,-5.41E+001,-2.15E+006,-2.15E+006
22825000000,-5.36E+001,-2.15E+006,-2.15E+006
22850000000,-5.32E+001,-2.15E+006,-2.15E+006
22875000000,-5.41E+001,-2.15E+006,-2.15E+006
22900000000,-5.41E+001,-2.15E+006,-2.15E+006
22925000000,-5.44E+001,-2.15E+006,-2.15E+006
22950000000,-5.41E+001,-2.15E+006,-2.15E+006
22975000000,-5.43E+001,-2.15E+006,-2.15E+006
23000000000,-5.45E+001,-2.15E+006,-2.15E+006
23025000000,-5.43E+001,-2.15E+006,-2.15E+006
23050000000,-5.43E+001,-2.15E+006,-2.15E+006
23075000000,-5.40E+001,-2.15E+006,-2.15E+006
23100000000,-5.43E+001,-2.15E+006,-2.15E+006
23125000000,-5.45E+001,-2.15E+006,-2.15E+006
23150000000,-5.42E+001,-2.15E+006,-2.15E+006
23175000000,-5.42E+001,-2.15E+006,-2.15E+006
23200000000,-5.34E+001,-2.15E+006,-2.15E+006
23225000000,-5.40E+001,-2.15E+006,-2.15E+006
23250000000,-5.50E+001,-2.15E+006,-2.15E+006
23275000000,-5.38E+001,-2.15E+006,-2.15E+006
23300000000,-5.49E+001,-2.15E+006,-2.15E+006
23325000000,-5.44E+001,-2.15E+006,-2.15E+006
23350000000,-5.41E+001,-2.15E+006,-2.15E+006
23375000000,-5.41E+001,-2.15E+006,-2.15E+006
23400000000,-5.46E+001,-2.15E+006,-2.15E+006
23425000000,-5.43E+001,-2.15E+006,-2.15E+006
23450000000,-5.51E+001,-2.15E+006,-2.15E+006
23475000000,-5.50E+001,-2.15E+006,-2.15E+006
23500000000,-5.39E+001,-2.15E+006,-2.15E+006
23525000000,-5.42E+001,-2.15E+006,-2.15E+006
23550000000,-5.43E+001,-2.15E+006,-2.15E+006
23575000000,-5.51E+001,-2.15E+006,-2.15E+006
23600000000,-5.47E+001,-2.15E+006,-2.15E+006
23625000000,-5.42E+001,-2.15E+006,-2.15E+006
23650000000,-5.51E+001,-2.15E+006,-2.15E+006
23675000000,-5.47E+001,-2.15E+006,-2.15E+006
23700000000,-5.50E+001,-2.15E+006,-2.15E+006
23725000000,-5.45E+001,-2.15E+006,-2.15E+006
23750000000,-5.51E+001,-2.15E+006,-2.15E+006
23775000000,-5.53E+001,-2.15E+006,-2.15E+006
23800000000,-5.56E+001,-2.15E+006,-2.15E+006
23825000000,-5.47E+001,-2.15E+006,-2.15E+006
23850000000,-5.57E+001,-2.15E+006,-2.15E+006
23875000000,-5.50E+001,-2.15E+006,-2.15E+006
23900000000,-5.46E+001,-2.15E+006,-2.15E+006
23925000000,-5.60E+001,-2.15E+006,-2.15E+006
23950000000,-5.47E+001,-2.15E+006,-2.15E+006
23975000000,-5.56E+001,-2.15E+006,-2.15E+006
24000000000,-5.41E+001,-2.15E+006,-2.15E+006
24025000000,-5.47E+001,-2.15E+006,-2.15E+006
24050000000,-5.47E+001,-2.15E+006,-2.15E+006
24075000000,-5.53E+001,-2.15E+006,-2.15E+006
24100000000,-5.48E+001,-2.15E+006,-2.15E+006
24125000000,-5.51E+001,-2.15E+006,-2.15E+006
24150000000,-5.44E+001,-2.15E+006,-2.15E+006
24175000000,-5.49E+001,-2.15E+006,-2.15E+006
24200000000,-5.58E+001,-2.15E+006,-2.15E+006
24225000000,-5.48E+001,-2.15E+006,-2.15E+006
24250000000,-5.55E+001,-2.15E+006,-2.15E+006
24275000000,-5.55E+001,-2.15E+006,-2.15E+006
24300000000,-5.46E+001,-2.15E+006,-2.15E+006
24325000000,-5.49E+001,-2.15E+006,-2.15E+006
24350000000,-5.48E+001,-2.15E+006,-2.15E+006
24375000000,-5.49E+001,-2.15E+006,-2.15E+006
24400000000,-5.43E+001,-2.15E+006,-2.15E+006
24425000000,-5.47E+001,-2.15E+006,-2.15E+006
24450000000,-5.53E+001,-2.15E+006,-2.15E+006
24475000000,-5.47E+001,-2.15E+006,-2.15E+006
24500000000,-5.44E+001,-2.15E+006,-2.15E+006
24525000000,-5.46E+001,-2.15E+006,-2.15E+006
24550000000,-5.45E+001,-2.15E+006,-2.15E+006
24575000000,-5.47E+001,-2.15E+006,-2.15E+006
24600000000,-5.49E+001,-2.15E+006,-2.15E+006
24625000000,-5.48E+001,-2.15E+006,-2.15E+006
24650000000,-5.52E+001,-2.15E+006,-2.15E+006
24675000000,-5.46E+001,-2.15E+006,-2.15E+006
24700000000,-5.50E+001,-2.15E+006,-2.15E+006
24725000000,-5.52E+001,-2.15E+006,-2.15E+006
24750000000,-5.51E+001,-2.15E+006,-2.15E+006
24775000000,-5.55E+001,-2.15E+006,-2.15E+006
